referenceDesignator,Cruise,instrumentType,deployDate,assetID,serialNumber
CE02SHBP-LJ01D-05-ADCPTB104,TN407,ADCPT-B,2022-08-19T05:55:00,ATOSU-69826-00002,19003
CE02SHBP-LJ01D-06-CTDBPN106,TN407,CTDBP-N,2022-08-19T05:55:00,ATOSU-69827-00003,16P71879-7248
CE02SHBP-LJ01D-06-DOSTAD106,TN407,DOSTA-D,2022-08-19T05:55:00,ATOSU-58320-00020,216
CE02SHBP-LJ01D-07-VEL3DC108,TN407,VEL3D-C,2022-08-19T05:55:00,ATOSU-69829-00003,VEC-5007, VEC-8167
CE02SHBP-LJ01D-08-OPTAAD106,TN407,OPTAA-D,2022-08-19T05:55:00,ATOSU-58332-00009,169
CE02SHBP-LJ01D-09-PCO2WB103,TN407,PCO2W-B,2022-08-19T05:55:00,ATOSU-70570-00002,C0080
CE02SHBP-LJ01D-10-PHSEND103,TN407,PHSEN-D,2022-08-19T05:55:00,ATOSU-70571-00001,P0116
CE02SHBP-LJ01D-11-HYDBBA106,TN407,HYDBB-A,2022-08-19T05:55:00,ATOSU-58324-00014,1248
CE02SHBP-MJ01C-07-ZPLSCB101,TN407,ZPLSC-B,2022-08-19T14:13:00,ATOSU-63259-00003,5
CE04OSBP-LJ01C-05-ADCPSI103,TN407,ADCPS-I,2022-08-20T02:22:00,ATOSU-69825-00001,21498
CE04OSBP-LJ01C-06-CTDBPO108,TN407,CTDBP-O,2022-08-20T02:22:00,ATOSU-69828-00001,16P71176-7231
CE04OSBP-LJ01C-06-DOSTAD108,TN407,DOSTA-D,2022-08-20T02:22:00,ATOSU-58320-00021,133
CE04OSBP-LJ01C-07-VEL3DC107,TN407,VEL3D-C,2022-08-20T02:22:00,ATOSU-69829-00004,VEC-4940, VEC-8159
CE04OSBP-LJ01C-08-OPTAAC104,TN407,OPTAA-C,2022-08-20T02:22:00,ATOSU-69943-00010,191
CE04OSBP-LJ01C-09-PCO2WB104,TN407,PCO2W-B,2022-08-20T02:22:00,ATOSU-70570-00001,C0064
CE04OSBP-LJ01C-10-PHSEND107,TN407,PHSEN-D,2022-08-20T02:22:00,ATOSU-70571-00002,P0117
CE04OSBP-LJ01C-11-HYDBBA105,TN407,HYDBB-A,2022-08-20T02:22:00,ATOSU-58324-00015,1249
CE04OSPD-DP01B-00-ENG000000,TN407,DP-VEHICLE,2022-08-26T16:00:00,ATAPL-71444-00004,4
CE04OSPD-DP01B-01-CTDPFL105,TN407,CTDPF-L,2022-08-26T16:00:00,ATAPL-67977-00003,52-0139
CE04OSPD-DP01B-02-VEL3DA105,TN407,VEL3D-A,2022-08-26T16:00:00,ATAPL-58346-00004,1148
CE04OSPD-DP01B-03-FLCDRA103,TN407,FLCDR-A,2022-08-26T16:00:00,ATOSU-70111-00007,3400
CE04OSPD-DP01B-04-FLNTUA103,TN407,FLNTU-A,2022-08-26T16:00:00,ATOSU-70110-00007,3398
CE04OSPD-DP01B-06-DOSTAD105,TN407,DOSTA-D,2022-08-26T16:00:00,ATAPL-58320-00010,459
CE04OSPS-PC01B-05-ZPLSCB102,TN407,ZPLSC-B,2022-08-11T22:00:00,ATOSU-63259-00004,1
CE04OSPS-PC01B-4A-CTDPFA109,TN407,CTDPF-A,2022-08-11T22:00:00,ATOSU-66662-00006,16-50018
CE04OSPS-PC01B-4A-DOSTAD109,TN407,DOSTA-D,2022-08-11T22:00:00,ATOSU-58320-00007,215
CE04OSPS-PC01B-4B-PHSENA106,TN407,PHSEN-A,2022-08-11T22:00:00,ATOSU-58337-00007,P0115
CE04OSPS-PC01B-4D-PCO2WA105,TN407,PCO2W-A,2022-08-11T22:00:00,ATOSU-58336-00006,C0079
CE04OSPS-SF01B-2A-CTDPFA107,TN407,CTDPF-A,2022-08-11T22:00:00,ATOSU-66662-00007,16-50019
CE04OSPS-SF01B-2A-DOFSTA107,TN407,DOFST-A,2022-08-11T22:00:00,ATOSU-58694-00004,43-2853
CE04OSPS-SF01B-2B-PHSENA108,TN407,PHSEN-A,2022-08-11T22:00:00,ATOSU-58337-00008,P0131
CE04OSPS-SF01B-3A-FLORTD104,TN407,FLOR-D,2022-08-11T22:00:00,ATOSU-58322-00008,1150
CE04OSPS-SF01B-3B-OPTAAD105,TN407,OPTAA-D,2022-08-11T22:00:00,ATOSU-58332-00003,128
CE04OSPS-SF01B-3C-PARADA102,TN407,PARAD-A,2022-08-11T22:00:00,ATAPL-78452-00006,1404
CE04OSPS-SF01B-3D-SPKIRA102,TN407,SPKIR-A,2022-08-11T22:00:00,ATAPL-58341-00004,267
CE04OSPS-SF01B-4A-NUTNRA102,TN407,NUTNR-A,2022-08-11T22:00:00,ATOSU-68020-00005,344
CE04OSPS-SF01B-4B-VELPTD106,TN407,VELPT-D,2022-08-11T22:00:00,ATAPL-70114-00004,AQS-6802, AQD-11930
CE04OSPS-SF01B-4F-PCO2WA102,TN407,PCO2W-A,2022-08-11T22:00:00,ATOSU-58336-00007,C0116
CE04OSPS-SF01B-2A-CTDPFA107,TN407,CTDPF-A,2022-09-06T19:00:00,ATAPL-66662-00005,16P71179-50030
CE04OSPS-SF01B-2A-DOFSTA107,TN407,DOFST-A,2022-09-06T19:00:00,ATAPL-58694-00003,43-2891
CE04OSPS-SF01B-2B-PHSENA108,TN407,PHSEN-A,2022-09-06T19:00:00,ATAPL-58337-00006,P0133
CE04OSPS-SF01B-3A-FLORTD104,TN407,FLOR-D,2022-09-06T19:00:00,ATAPL-58322-00009,1292
CE04OSPS-SF01B-3B-OPTAAD105,TN407,OPTAA-D,2022-09-06T19:00:00,ATAPL-58332-00004,186
CE04OSPS-SF01B-3C-PARADA102,TN407,PARAD-A,2022-09-06T19:00:00,ATAPL-78452-00002,1400
CE04OSPS-SF01B-3D-SPKIRA102,TN407,SPKIR-A,2022-09-06T19:00:00,ATAPL-58341-00006,292
CE04OSPS-SF01B-4A-NUTNRA102,TN407,NUTNR-A,2022-09-06T19:00:00,ATAPL-68020-00006,617
CE04OSPS-SF01B-4B-VELPTD106,TN407,VELPT-D,2022-09-06T19:00:00,ATAPL-70114-00006,AQS-7205, AQD-12227
CE04OSPS-SF01B-4F-PCO2WA102,TN407,PCO2W-A,2022-09-06T19:00:00,ATOSU-58336-00008,C0117
RS01SBPD-DP01A-00-ENG000000,TN407,DP-VEHICLE,2022-08-29T00:00:00,ATAPL-71444-00003,3
RS01SBPD-DP01A-01-CTDPFL104,TN407,CTDPF-L,2022-08-29T00:00:00,ATAPL-67977-00004,52-0144
RS01SBPD-DP01A-02-VEL3DA103,TN407,VEL3D-A,2022-08-29T00:00:00,ATAPL-58346-00005,1214
RS01SBPD-DP01A-03-FLCDRA102,TN407,FLCDR-A,2022-08-29T00:00:00,ATAPL-70111-00003,3460
RS01SBPD-DP01A-04-FLNTUA102,TN407,FLNTU-A,2022-08-29T00:00:00,ATAPL-70110-00003,3468
RS01SBPD-DP01A-06-DOSTAD104,TN407,DOSTA-D,2022-08-29T00:00:00,ATOSU-58320-00008,137
RS01SBPS-PC01A-05-ADCPTD102,TN407,ADCPT-D,2022-09-15T15:32:00,ATAPL-58315-00005,23339
RS01SBPS-PC01A-06-VADCPA101,TN407,VADCP-A,2022-09-15T15:32:00,ATAPL-58345-00002,19073, 64667
RS01SBPS-PC01A-07-CAMDSC102,TN407,CAMDS,2022-09-15T15:32:00,ATAPL-78437-00008,SUBC19008, SUBC19032, SUBC19033, SUBC18913, SUBC18928
RS01SBPS-PC01A-08-HYDBBA103,TN407,HYDBB-A,2022-09-15T15:32:00,ATAPL-58324-00008,1361
RS01SBPS-PC01A-4A-CTDPFA103,TN407,CTDPF-A,2022-09-15T15:32:00,ATAPL-66662-00001,16P65795-6914
RS01SBPS-PC01A-4A-DOSTAD103,TN407,DOSTA-D,2022-09-15T15:32:00,ATAPL-58320-00005,275
RS01SBPS-PC01A-4B-PHSENA102,TN407,PHSEN-A,2022-09-15T15:32:00,ATAPL-58337-00014,P0164
RS01SBPS-PC01A-4C-FLORDD103,TN407,FLOR-D,2022-09-15T15:32:00,ATAPL-58322-00005,1132
RS01SBPS-SF01A-2A-CTDPFA102,TN407,CTDPF-A,2022-09-15T15:32:00,ATAPL-66662-00002,16P71179-7205
RS01SBPS-SF01A-2A-DOFSTA102,TN407,DOFST-A,2022-09-15T15:32:00,ATAPL-58694-00001,43-2463
RS01SBPS-SF01A-2D-PHSENA101,TN407,PHSEN-A,2022-09-15T15:32:00,ATAPL-58337-00013,P0163
RS01SBPS-SF01A-3A-FLORTD101,TN407,FLOR-D,2022-09-15T15:32:00,ATAPL-58322-00003,1130
RS01SBPS-SF01A-3B-OPTAAD101,TN407,OPTAA-D,2022-09-15T15:32:00,ATAPL-58332-00005,244
RS01SBPS-SF01A-3C-PARADA101,TN407,PARAD-A,2022-09-15T15:32:00,ATAPL-78452-00001,1399
RS01SBPS-SF01A-3D-SPKIRA101,TN407,SPKIR-A,2022-09-15T15:32:00,ATAPL-58341-00003,245
RS01SBPS-SF01A-4A-NUTNRA101,TN407,NUTNR-A,2022-09-15T15:32:00,ATAPL-68020-00003,380
RS01SBPS-SF01A-4B-VELPTD102,TN407,VELPT-D,2022-09-15T15:32:00,ATAPL-70114-00003,AQS-6389, AQD-11641
RS01SBPS-SF01A-4F-PCO2WA101,TN407,PCO2W-A,2022-09-15T15:32:00,ATAPL-58336-00004,C0091
RS01SLBS-LJ01A-11-OPTAAC103,TN407,OPTAA-C,2022-08-09T17:37:00,ATAPL-69943-00008,248
RS01SLBS-LJ01A-12-CTDPFB101,TN407,CTDPF-B,2022-08-09T17:37:00,ATAPL-67627-00002,16P71179-7234
RS01SLBS-LJ01A-12-DOSTAD101,TN407,DOSTA-D,2022-08-09T17:37:00,ATAPL-58320-00014,475
RS01SUM1-LJ01B-06-OBSSPA103,TN407,OBSSP-A,2022-08-21T14:09:00,ATAPL-58331-00002,T6J68
RS03AXBS-LJ03A-05-HPIESA301,TN407,HPIES-A,2022-08-29T22:40:00,ATAPL-58323-00002,2, 007, 308, 32, 33
RS03AXBS-LJ03A-09-HYDBBA302,TN407,HYDBB-A,2022-08-29T22:40:00,ATOSU-58324-00016,1412
RS03AXBS-LJ03A-10-ADCPTE303,TN407,ADCPT-E,2022-08-29T22:40:00,ATAPL-68073-00003,19224
RS03AXBS-LJ03A-11-OPTAAC303,TN407,OPTAA-C,2022-08-29T22:40:00,ATAPL-69943-00003,156
RS03AXBS-LJ03A-12-CTDPFB301,TN407,CTDPF-B,2022-08-29T22:40:00,ATAPL-67627-00003,16P71179-50031
RS03AXBS-LJ03A-12-DOSTAD301,TN407,DOSTA-D,2022-08-29T22:40:00,ATAPL-58320-00003,273
RS03AXBS-MJ03A-06-PRESTA301,TN407,PREST-A,2022-08-30T01:37:00,ATAPL-67639-00006,5471540-0048
RS03AXPD-DP03A-00-ENG000000,TN407,DP-VEHICLE,2022-08-29T00:00:00,ATAPL-71444-00007,7
RS03AXPD-DP03A-01-CTDPFL304,TN407,CTDPF-L,2022-08-29T00:00:00,ATAPL-67977-00005,52-0145
RS03AXPD-DP03A-02-VEL3DA303,TN407,VEL3D-A,2022-08-29T00:00:00,ATOSU-58346-00008,1131
RS03AXPD-DP03A-03-FLCDRA302,TN407,FLCDR-A,2022-08-29T00:00:00,ATAPL-70111-00001,3098
RS03AXPD-DP03A-03-FLNTUA302,TN407,FLNTU-A,2022-08-29T00:00:00,ATAPL-70110-00001,3099
RS03AXPD-DP03A-06-DOSTAD304,TN407,DOSTA-D,2022-08-29T00:00:00,ATAPL-58320-00009,458
RS03AXPS-PC03A-05-ADCPTD302,TN407,ADCPT-D,2022-08-13T00:57:00,ATAPL-58315-00003,18980
RS03AXPS-PC03A-06-VADCPA301,TN407,VADCP-A,2022-08-13T00:57:00,ATAPL-58345-00003,19075, 64689
RS03AXPS-PC03A-08-HYDBBA303,TN407,HYDBB-A,2022-08-13T00:57:00,ATAPL-58324-00004,1272
